"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Should return 400 error for invalid Id","chromium","Sun Jan 26 20:11:45 CET 2025","skipped","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get product by Id","api\tests\Products\getById.spec.ts","",""
"","16483","Should return 404 error for valid but non existing Id","chromium","Sun Jan 26 20:11:46 CET 2025","passed","Sun Jan 26 20:12:03 CET 2025","[API] [Products] Update","api\tests\Products\update.spec.ts","",""
"","1714","Should handle query parameters: Invalid manufacturer","chromium","Sun Jan 26 20:11:43 CET 2025","passed","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","2415","Should handle query parameters: Search with a keyword","chromium","Sun Jan 26 20:11:42 CET 2025","passed","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","1363","get started link","chromium","Sun Jan 26 20:07:12 CET 2025","passed","Sun Jan 26 20:07:13 CET 2025","","ui\tests\example.spec.ts","",""
"","2174","Should handle query parameters: No query parameters","chromium","Sun Jan 26 20:11:41 CET 2025","passed","Sun Jan 26 20:11:43 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","1088","has title","chromium","Sun Jan 26 20:07:12 CET 2025","passed","Sun Jan 26 20:07:13 CET 2025","","ui\tests\example.spec.ts","",""
"","2899","Should handle query parameters: Sort by name in ascending order","chromium","Sun Jan 26 20:11:41 CET 2025","passed","Sun Jan 26 20:11:44 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","2531","Should handle query parameters: Sort by price in descending order","chromium","Sun Jan 26 20:11:41 CET 2025","passed","Sun Jan 26 20:11:43 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","3057","Should create product with smoke data","chromium","Sun Jan 26 20:13:42 CET 2025","passed","Sun Jan 26 20:13:45 CET 2025","[API] [Products] Create","api\tests\Products\create.spec.ts","",""
"","1501","Should handle query parameters: Filter by manufacturer and sort by createdOn descending","chromium","Sun Jan 26 20:11:41 CET 2025","passed","Sun Jan 26 20:11:42 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","1","Should return 400 error for invalid Id","chromium","Sun Jan 26 20:11:51 CET 2025","skipped","Sun Jan 26 20:11:51 CET 2025","[API] [Products] Update","api\tests\Products\update.spec.ts","",""
"","1417","Should handle query parameters: Filter by manufacturer","chromium","Sun Jan 26 20:11:41 CET 2025","passed","Sun Jan 26 20:11:42 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","2077","Should handle query parameters: Invalid sortField","chromium","Sun Jan 26 20:11:43 CET 2025","passed","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","1713","Should return 401 error for invalid token","chromium","Sun Jan 26 20:11:45 CET 2025","passed","Sun Jan 26 20:11:46 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","12845","Should return 401 error for invalid token","chromium","Sun Jan 26 20:11:51 CET 2025","passed","Sun Jan 26 20:12:04 CET 2025","[API] [Products] Update","api\tests\Products\update.spec.ts","",""
"","1315","Should handle query parameters: Invalid sortOrder","chromium","Sun Jan 26 20:11:44 CET 2025","passed","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","2261","Should handle query parameters: Search with a keyword and filter by manufacturer","chromium","Sun Jan 26 20:11:42 CET 2025","passed","Sun Jan 26 20:11:45 CET 2025","[API] [Products] Get all products","api\tests\Products\getAll.spec.ts","",""
"","17048","Should get product by existing Id","chromium","Sun Jan 26 20:11:45 CET 2025","passed","Sun Jan 26 20:12:02 CET 2025","[API] [Products] Get product by Id","api\tests\Products\getById.spec.ts","",""
"","18542","Should update product with smoke data","chromium","Sun Jan 26 20:11:46 CET 2025","passed","Sun Jan 26 20:12:04 CET 2025","[API] [Products] Update","api\tests\Products\update.spec.ts","",""
"","17098","Should return 404 error for valid but non existing Id","chromium","Sun Jan 26 20:11:45 CET 2025","passed","Sun Jan 26 20:12:02 CET 2025","[API] [Products] Get product by Id","api\tests\Products\getById.spec.ts","",""
"","10964","Should return 401 error for invalid token","chromium","Sun Jan 26 20:11:45 CET 2025","passed","Sun Jan 26 20:11:56 CET 2025","[API] [Products] Get product by Id","api\tests\Products\getById.spec.ts","",""
