"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Should handle query parameters: No query parameters","API","Sun Mar 02 16:30:13 UTC 2025","passed","Sun Mar 02 16:30:13 UTC 2025","[API] [Products] Get all products","api/tests/Products/getAll.spec.ts","",""
"","306","Should handle query parameters: Search with a keyword","API","Sun Mar 02 16:30:14 UTC 2025","passed","Sun Mar 02 16:30:14 UTC 2025","[API] [Products] Get all products","api/tests/Products/getAll.spec.ts","",""
"","8102","Should get customer by existing Id","API","Sun Mar 02 16:30:01 UTC 2025","passed","Sun Mar 02 16:30:09 UTC 2025","[API] [Customers] Get customer by Id","api/tests/Customers/getById.spec.ts","",""
"","1871","Should return 401 error for expired auth token","API","Sun Mar 02 16:30:11 UTC 2025","passed","Sun Mar 02 16:30:13 UTC 2025","[API] [Customers] Get customer by Id","api/tests/Customers/getById.spec.ts","",""
"","897","Should not get customers with expired token","API","Sun Mar 02 16:30:08 UTC 2025","passed","Sun Mar 02 16:30:09 UTC 2025","[API] [Customers] [Get all customers]","api/tests/Customers/getAll.spec.ts","",""
"","3089","Should create another order for the same customer","API","Sun Mar 02 16:30:22 UTC 2025","passed","Sun Mar 02 16:30:25 UTC 2025","[API] [Orders] Create order [Positive]","api/tests/Orders/create.spec.ts","",""
"","3190","Should delete an order by id","API","Sun Mar 02 16:30:09 UTC 2025","passed","Sun Mar 02 16:30:12 UTC 2025","[API] [Orders] [Delete Order]","api/tests/Orders/delete.spec.ts","",""
"","1908","Should get all customers with valid query parameters","API","Sun Mar 02 16:30:01 UTC 2025","passed","Sun Mar 02 16:30:03 UTC 2025","[API] [Customers] [Get all customers]","api/tests/Customers/getAll.spec.ts","",""
"","173","Should handle query parameters: Filter by manufacturer and sort by createdOn descending","API","Sun Mar 02 16:30:14 UTC 2025","passed","Sun Mar 02 16:30:14 UTC 2025","[API] [Products] Get all products","api/tests/Products/getAll.spec.ts","",""
"","5405","Should create new customer with random valid data and all fields","API","Sun Mar 02 16:30:01 UTC 2025","passed","Sun Mar 02 16:30:06 UTC 2025","[API] [Customers] [Create New Customer]","api/tests/Customers/create.spec.ts","",""
